,state,sex,weight,age,n_false,n_true,n_null
0,0,1,3.0,13.0,0.0,1.0,0.0
1,0,0,1.9,16.0,1.0,0.0,0.0
2,1,1,3.5,3.0,1.0,0.0,0.0
3,0,0,6.0,8.0,0.0,0.0,1.0
4,1,1,4.2,2.0,0.0,1.0,0.0
5,1,0,30.0,2.0,1.0,0.0,0.0
6,1,0,5.0,4.0,1.0,0.0,0.0
7,1,0,5.0,6.0,1.0,0.0,0.0
8,1,1,4.0,3.0,1.0,0.0,0.0
9,1,1,2.6,3.0,1.0,0.0,0.0
10,1,1,3.0,4.0,0.0,1.0,0.0
11,1,1,3.0,4.0,0.0,1.0,0.0
12,1,1,2.4,2.0,1.0,0.0,0.0
13,1,1,3.0,4.0,0.0,1.0,0.0
14,1,0,4.0,6.0,0.0,0.0,1.0
15,1,1,3.2,7.0,0.0,1.0,0.0
16,1,1,4.0,8.0,1.0,0.0,0.0
17,1,0,5.0,4.0,1.0,0.0,0.0
18,1,1,4.0,6.0,1.0,0.0,0.0
19,1,0,5.0,3.0,0.0,0.0,1.0
20,1,0,4.0,6.0,1.0,0.0,0.0
21,1,0,4.0,6.0,0.0,0.0,1.0
22,1,0,4.0,4.0,1.0,0.0,0.0
23,1,0,4.0,6.0,1.0,0.0,0.0
24,1,0,4.0,6.0,1.0,0.0,0.0
25,1,0,3.4,2.0,1.0,0.0,0.0
26,1,1,2.0,11.0,0.0,1.0,0.0
27,1,0,1.0,9.0,0.0,0.0,1.0
28,1,1,2.5,4.0,0.0,1.0,0.0
29,1,0,5.3,3.0,0.0,0.0,1.0
30,0,0,40.0,9.0,0.0,0.0,1.0
31,1,0,4.5,9.0,0.0,0.0,1.0
32,1,0,5.5,4.0,0.0,0.0,1.0
33,0,1,2.9,13.0,1.0,0.0,0.0
34,0,1,1.5,11.0,1.0,0.0,0.0
35,1,1,3.5,5.0,1.0,0.0,0.0
36,1,0,2.4,4.0,1.0,0.0,0.0
37,1,1,4.0,7.0,0.0,0.0,1.0
38,1,0,3.0,5.0,1.0,0.0,0.0
39,1,0,2.73,6.0,1.0,0.0,0.0
40,1,0,4.0,9.0,0.0,0.0,1.0
41,1,1,3.0,2.0,0.0,1.0,0.0
42,1,1,2.72,5.0,0.0,0.0,1.0
43,1,1,3.0,1.0,0.0,1.0,0.0
44,1,0,5.0,4.0,0.0,0.0,1.0
45,1,1,5.4,2.0,1.0,0.0,0.0
46,1,1,2.6,3.0,1.0,0.0,0.0
47,1,1,3.04,2.0,1.0,0.0,0.0
48,1,0,2.25,10.0,1.0,0.0,0.0
49,1,1,3.0,6.0,1.0,0.0,0.0
50,0,1,4.0,9.0,1.0,0.0,0.0
51,0,0,2.0,2.0,1.0,0.0,0.0
52,0,0,4.0,2.0,1.0,0.0,0.0
53,1,1,5.1,3.0,1.0,0.0,0.0
54,1,1,30.0,7.0,1.0,0.0,0.0
55,1,0,3.3,8.0,1.0,0.0,0.0
56,1,1,10.0,2.0,1.0,0.0,0.0
57,1,1,3.6,1.0,1.0,0.0,0.0
58,1,1,3.7,7.0,0.0,1.0,0.0
59,1,1,1.5,1.0,1.0,0.0,0.0
60,1,0,3.0,4.0,0.0,0.0,1.0
61,1,1,5.0,6.0,0.0,0.0,1.0
62,1,1,2.7,3.0,0.0,0.0,1.0
63,1,0,4.5,3.0,1.0,0.0,0.0
64,0,1,4.8,6.0,1.0,0.0,0.0
65,1,0,3.0,6.0,0.0,0.0,1.0
66,1,1,7.3,5.0,1.0,0.0,0.0
67,0,0,3.4,10.0,1.0,0.0,0.0
68,0,1,3.3,4.0,1.0,0.0,0.0
69,1,1,3.5,1.0,0.0,1.0,0.0
70,1,0,1.3,9.0,0.0,0.0,1.0
71,1,1,1.4,1.0,1.0,0.0,0.0
72,1,1,3.0,5.0,0.0,1.0,0.0
73,1,0,2.3,5.0,0.0,0.0,1.0
74,1,1,2.82,4.0,1.0,0.0,0.0
75,1,0,1.16,13.0,0.0,0.0,1.0
76,1,1,4.0,3.0,0.0,0.0,1.0
77,1,1,5.0,4.0,1.0,0.0,0.0
78,1,0,2.5,3.0,1.0,0.0,0.0
79,1,0,2.5,2.0,1.0,0.0,0.0
80,1,0,30.0,3.0,1.0,0.0,0.0
81,1,0,30.0,3.0,1.0,0.0,0.0
82,1,1,30.0,2.0,1.0,0.0,0.0
83,1,1,30.0,3.0,1.0,0.0,0.0
84,1,1,30.0,3.0,1.0,0.0,0.0
85,1,1,2.5,3.0,1.0,0.0,0.0
86,1,1,2.5,3.0,1.0,0.0,0.0
87,1,0,3.5,4.0,1.0,0.0,0.0
88,1,1,3.5,2.0,1.0,0.0,0.0
89,1,0,30.0,3.0,1.0,0.0,0.0
90,1,1,30.0,3.0,1.0,0.0,0.0
91,1,0,30.0,4.0,1.0,0.0,0.0
92,1,1,4.4,5.0,0.0,1.0,0.0
93,1,1,5.0,12.0,1.0,0.0,0.0
94,1,1,3.7,3.0,0.0,0.0,1.0
95,1,0,4.0,7.0,0.0,0.0,1.0
96,1,0,5.0,9.0,1.0,0.0,0.0
97,1,1,2.8,2.0,0.0,0.0,1.0
98,0,0,6.0,2.0,0.0,0.0,1.0
99,1,0,3.9,5.0,0.0,0.0,1.0
